 (n,m)=          10           0
 clat=   4.2539167833891627      ncells=           5
         200
 
 C   3.1623223588749707       -2.2975616809848982        2.8359445222594415     
 C   3.1623223588749707       -2.2975616809848982        1.4179722611297207     
 C   3.7175328910829069       -1.2078996577064969       0.70898613056486037     
 C   3.7175328910829069       -1.2078996577064969        3.5449306528243021     
 C   3.9088454023369494       -9.5739100206675856E-016   2.8359445222594415     
 C   3.9088454023369494       -9.5739100206675856E-016   1.4179722611297207     
 C   3.7175328910829073        1.2078996577064953       0.70898613056486037     
 C   3.7175328910829069        1.2078996577064962        7.7988474362134648     
 C   3.1623223588749707        2.2975616809848978        7.0898613056486042     
 C   3.1623223588749712        2.2975616809848973        5.6718890445188830     
 C   2.2975616809848969        3.1623223588749712        4.9629029139540233     
 C   2.2975616809848969        3.1623223588749712        7.7988474362134648     
 C   1.2078996577064958        3.7175328910829073        7.0898613056486042     
 C   1.2078996577064962        3.7175328910829069        5.6718890445188830     
 C  -6.2859028255824325E-016   3.9088454023369494        4.9629029139540233     
 C  -6.2859028255824325E-016   3.9088454023369494        7.7988474362134648     
 C  -1.2078996577064967        3.7175328910829069        7.0898613056486042     
 C  -1.2078996577064967        3.7175328910829069        5.6718890445188830     
 C  -2.2975616809848969        3.1623223588749712        4.9629029139540233     
 C  -2.2975616809848969        3.1623223588749712        7.7988474362134648     
 C  -3.1623223588749720        2.2975616809848960        7.0898613056486042     
 C  -3.1623223588749707        2.2975616809848978        5.6718890445188830     
 C  -3.7175328910829069        1.2078996577064964        4.9629029139540233     
 C  -3.7175328910829069        1.2078996577064964        7.7988474362134648     
 C  -3.9088454023369494       -1.2571805651164867E-015   7.0898613056486042     
 C  -3.9088454023369494        4.7869550103337928E-016   5.6718890445188830     
 C  -3.7175328910829073       -1.2078996577064958        4.9629029139540233     
 C  -3.7175328910829073       -1.2078996577064958        7.7988474362134648     
 C  -3.1623223588749703       -2.2975616809848982        7.0898613056486042     
 C  -3.1623223588749716       -2.2975616809848969        5.6718890445188830     
 C  -2.2975616809848978       -3.1623223588749707        4.9629029139540233     
 C  -2.2975616809848978       -3.1623223588749707        7.7988474362134648     
 C  -1.2078996577064967       -3.7175328910829069        7.0898613056486042     
 C  -1.2078996577064967       -3.7175328910829069        5.6718890445188830     
 C   2.7537088807496629E-015  -3.9088454023369494        4.9629029139540233     
 C   2.7537088807496629E-015  -3.9088454023369494        7.7988474362134648     
 C   1.2078996577064955       -3.7175328910829073        7.0898613056486042     
 C   1.2078996577064955       -3.7175328910829073        5.6718890445188830     
 C   2.2975616809848995       -3.1623223588749694        4.9629029139540233     
 C   2.2975616809848995       -3.1623223588749694        7.7988474362134648     
 C   3.1623223588749707       -2.2975616809848982        7.0898613056486042     
 C   3.1623223588749707       -2.2975616809848982        5.6718890445188830     
 C   3.7175328910829069       -1.2078996577064969        4.9629029139540233     
 C   3.7175328910829069       -1.2078996577064969        7.7988474362134648     
 C   3.9088454023369494       -9.5739100206675856E-016   7.0898613056486042     
 C   3.9088454023369494       -9.5739100206675856E-016   5.6718890445188830     
 C   3.7175328910829073        1.2078996577064953        4.9629029139540233     
 C   3.7175328910829069        1.2078996577064962        12.052764219602627     
 C   3.1623223588749707        2.2975616809848978        11.343778089037766     
 C   3.1623223588749712        2.2975616809848973        9.9258058279080466     
 C   2.2975616809848969        3.1623223588749712        9.2168196973431851     
 C   2.2975616809848969        3.1623223588749712        12.052764219602627     
 C   1.2078996577064958        3.7175328910829073        11.343778089037766     
 C   1.2078996577064962        3.7175328910829069        9.9258058279080466     
 C  -6.2859028255824325E-016   3.9088454023369494        9.2168196973431851     
 C  -6.2859028255824325E-016   3.9088454023369494        12.052764219602627     
 C  -1.2078996577064967        3.7175328910829069        11.343778089037766     
 C  -1.2078996577064967        3.7175328910829069        9.9258058279080466     
 C  -2.2975616809848969        3.1623223588749712        9.2168196973431851     
 C  -2.2975616809848969        3.1623223588749712        12.052764219602627     
 C  -3.1623223588749720        2.2975616809848960        11.343778089037766     
 C  -3.1623223588749707        2.2975616809848978        9.9258058279080466     
 C  -3.7175328910829069        1.2078996577064964        9.2168196973431851     
 C  -3.7175328910829069        1.2078996577064964        12.052764219602627     
 C  -3.9088454023369494       -1.2571805651164867E-015   11.343778089037766     
 C  -3.9088454023369494        4.7869550103337928E-016   9.9258058279080466     
 C  -3.7175328910829073       -1.2078996577064958        9.2168196973431851     
 C  -3.7175328910829073       -1.2078996577064958        12.052764219602627     
 C  -3.1623223588749703       -2.2975616809848982        11.343778089037766     
 C  -3.1623223588749716       -2.2975616809848969        9.9258058279080466     
 C  -2.2975616809848978       -3.1623223588749707        9.2168196973431851     
 C  -2.2975616809848978       -3.1623223588749707        12.052764219602627     
 C  -1.2078996577064967       -3.7175328910829069        11.343778089037766     
 C  -1.2078996577064967       -3.7175328910829069        9.9258058279080466     
 C   2.7537088807496629E-015  -3.9088454023369494        9.2168196973431851     
 C   2.7537088807496629E-015  -3.9088454023369494        12.052764219602627     
 C   1.2078996577064955       -3.7175328910829073        11.343778089037766     
 C   1.2078996577064955       -3.7175328910829073        9.9258058279080466     
 C   2.2975616809848995       -3.1623223588749694        9.2168196973431851     
 C   2.2975616809848995       -3.1623223588749694        12.052764219602627     
 C   3.1623223588749707       -2.2975616809848982        11.343778089037766     
 C   3.1623223588749707       -2.2975616809848982        9.9258058279080466     
 C   3.7175328910829069       -1.2078996577064969        9.2168196973431851     
 C   3.7175328910829069       -1.2078996577064969        12.052764219602627     
 C   3.9088454023369494       -9.5739100206675856E-016   11.343778089037766     
 C   3.9088454023369494       -9.5739100206675856E-016   9.9258058279080466     
 C   3.7175328910829073        1.2078996577064953        9.2168196973431851     
 C   3.7175328910829069        1.2078996577064962        16.306681002991791     
 C   3.1623223588749707        2.2975616809848978        15.597694872426931     
 C   3.1623223588749712        2.2975616809848973        14.179722611297210     
 C   2.2975616809848969        3.1623223588749712        13.470736480732349     
 C   2.2975616809848969        3.1623223588749712        16.306681002991791     
 C   1.2078996577064958        3.7175328910829073        15.597694872426931     
 C   1.2078996577064962        3.7175328910829069        14.179722611297210     
 C  -6.2859028255824325E-016   3.9088454023369494        13.470736480732349     
