  (n,m) =            9           0
  clat =    4.2539167833891627     
         216
 
 C  -1.7589804310516288       -3.0466434761008219        5.6718890445188830     
 C -0.61088749280781640       -3.4645151317927958        4.9629029139540233     
 C -0.61088749280781329       -3.4645151317927962        7.7988474362134648     
 C  0.61088749280781207       -3.4645151317927967        7.0898613056486042     
 C  0.61088749280781207       -3.4645151317927967        5.6718890445188830     
 C   1.7589804310516277       -3.0466434761008228        4.9629029139540233     
 C   1.7589804310516277       -3.0466434761008228        7.7988474362134648     
 C   2.6949143695242466       -2.2613016535221493        7.0898613056486042     
 C   2.6949143695242466       -2.2613016535221493        5.6718890445188830     
 C   3.3058018623320611       -1.2032134782706478        4.9629029139540233     
 C   3.3058018623320611       -1.2032134782706478        7.7988474362134648     
 C   3.5179608621032545       -8.6165190186008280E-016   7.0898613056486042     
 C   3.5179608621032545       -8.6165190186008280E-016   5.6718890445188830     
 C   3.3058018623320606        1.2032134782706490        4.9629029139540233     
 C   3.3058018623320606        1.2032134782706483        12.052764219602627     
 C   2.6949143695242475        2.2613016535221484        11.343778089037766     
 C   2.6949143695242475        2.2613016535221480        9.9258058279080466     
 C   1.7589804310516268        3.0466434761008232        9.2168196973431851     
 C   1.7589804310516268        3.0466434761008232        12.052764219602627     
 C  0.61088749280781296        3.4645151317927967        11.343778089037766     
 C  0.61088749280781363        3.4645151317927962        9.9258058279080466     
 C -0.61088749280781407        3.4645151317927962        9.2168196973431851     
 C -0.61088749280781407        3.4645151317927962        12.052764219602627     
 C  -1.7589804310516282        3.0466434761008223        11.343778089037766     
 C  -1.7589804310516282        3.0466434761008223        9.9258058279080466     
 C  -2.6949143695242470        2.2613016535221488        9.2168196973431851     
 C  -2.6949143695242470        2.2613016535221488        12.052764219602627     
 C  -3.3058018623320611        1.2032134782706474        11.343778089037766     
 C  -3.3058018623320606        1.2032134782706487        9.9258058279080466     
 C  -3.5179608621032545        4.3082595093004140E-016   9.2168196973431851     
 C  -3.5179608621032545        4.3082595093004140E-016   12.052764219602627     
 C  -3.3058018623320606       -1.2032134782706494        11.343778089037766     
 C  -3.3058018623320611       -1.2032134782706481        9.9258058279080466     
