 (n,m)=          15           0
 clat=   4.2539167833891627      ncells=           5
         300
 
 C   2.9316340517527171       -5.0777391268347012        3.5449306528243021     
 C   3.9232921413431381       -4.3572573515067088        2.8359445222594415     
 C   3.9232921413431381       -4.3572573515067088        1.4179722611297207     
 C   4.7434835383124581       -3.4463425214773427       0.70898613056486037     
 C   4.7434835383124581       -3.4463425214773427        3.5449306528243021     
 C   5.3563619428981291       -2.3848059858732040        2.8359445222594415     
 C   5.3563619428981291       -2.3848059858732040        1.4179722611297207     
 C   5.7351416279028822       -1.2190419851176426       0.70898613056486037     
 C   5.7351416279028822       -1.2190419851176426        3.5449306528243021     
 C   5.8632681035054235        8.9791698937990559E-015   2.8359445222594415     
 C   5.8632681035054235        8.9791698937990559E-015   1.4179722611297207     
 C   5.7351416279028804        1.2190419851176499       0.70898613056486037     
 C   5.7351416279028804        1.2190419851176502        7.7988474362134648     
 C   5.3563619428981264        2.3848059858732102        7.0898613056486042     
 C   5.3563619428981264        2.3848059858732094        5.6718890445188830     
 C   4.7434835383124554        3.4463425214773467        4.9629029139540233     
 C   4.7434835383124554        3.4463425214773467        7.7988474362134648     
 C   3.9232921413431354        4.3572573515067115        7.0898613056486042     
 C   3.9232921413431368        4.3572573515067106        5.6718890445188830     
 C   2.9316340517527100        5.0777391268347056        4.9629029139540233     
 C   2.9316340517527100        5.0777391268347056        7.7988474362134648     
 C   1.8118494865597432        5.5762993366243601        7.0898613056486042     
 C   1.8118494865597432        5.5762993366243601        5.6718890445188830     
 C  0.61287840458566956        5.8311485073505560        4.9629029139540233     
 C  0.61287840458566956        5.8311485073505560        7.7988474362134648     
 C -0.61287840458567400        5.8311485073505551        7.0898613056486042     
 C -0.61287840458567133        5.8311485073505551        5.6718890445188830     
 C  -1.8118494865597450        5.5762993366243601        4.9629029139540233     
 C  -1.8118494865597450        5.5762993366243601        7.7988474362134648     
 C  -2.9316340517527149        5.0777391268347021        7.0898613056486042     
 C  -2.9316340517527131        5.0777391268347030        5.6718890445188830     
 C  -3.9232921413431368        4.3572573515067106        4.9629029139540233     
 C  -3.9232921413431368        4.3572573515067106        7.7988474362134648     
 C  -4.7434835383124572        3.4463425214773440        7.0898613056486042     
 C  -4.7434835383124554        3.4463425214773467        5.6718890445188830     
 C  -5.3563619428981273        2.3848059858732085        4.9629029139540233     
 C  -5.3563619428981273        2.3848059858732085        7.7988474362134648     
 C  -5.7351416279028813        1.2190419851176471        7.0898613056486042     
 C  -5.7351416279028813        1.2190419851176471        5.6718890445188830     
 C  -5.8632681035054235       -4.4895849468995279E-015   4.9629029139540233     
 C  -5.8632681035054235       -4.4895849468995279E-015   7.7988474362134648     
 C  -5.7351416279028804       -1.2190419851176508        7.0898613056486042     
 C  -5.7351416279028804       -1.2190419851176508        5.6718890445188830     
 C  -5.3563619428981255       -2.3848059858732116        4.9629029139540233     
 C  -5.3563619428981255       -2.3848059858732116        7.7988474362134648     
 C  -4.7434835383124545       -3.4463425214773471        7.0898613056486042     
 C  -4.7434835383124545       -3.4463425214773471        5.6718890445188830     
 C  -3.9232921413431341       -4.3572573515067123        4.9629029139540233     
 C  -3.9232921413431341       -4.3572573515067123        7.7988474362134648     
 C  -2.9316340517527095       -5.0777391268347056        7.0898613056486042     
 C  -2.9316340517527095       -5.0777391268347056        5.6718890445188830     
 C  -1.8118494865597401       -5.5762993366243609        4.9629029139540233     
 C  -1.8118494865597401       -5.5762993366243609        7.7988474362134648     
 C -0.61287840458567022       -5.8311485073505560        7.0898613056486042     
 C -0.61287840458567022       -5.8311485073505560        5.6718890445188830     
 C  0.61287840458567322       -5.8311485073505551        4.9629029139540233     
 C  0.61287840458567322       -5.8311485073505551        7.7988474362134648     
 C   1.8118494865597430       -5.5762993366243601        7.0898613056486042     
 C   1.8118494865597430       -5.5762993366243601        5.6718890445188830     
 C   2.9316340517527122       -5.0777391268347039        4.9629029139540233     
 C   2.9316340517527171       -5.0777391268347012        7.7988474362134648     
 C   3.9232921413431381       -4.3572573515067088        7.0898613056486042     
 C   3.9232921413431381       -4.3572573515067088        5.6718890445188830     
 C   4.7434835383124581       -3.4463425214773427        4.9629029139540233     
 C   4.7434835383124581       -3.4463425214773427        7.7988474362134648     
 C   5.3563619428981291       -2.3848059858732040        7.0898613056486042     
 C   5.3563619428981291       -2.3848059858732040        5.6718890445188830     
 C   5.7351416279028822       -1.2190419851176426        4.9629029139540233     
 C   5.7351416279028822       -1.2190419851176426        7.7988474362134648     
 C   5.8632681035054235        8.9791698937990559E-015   7.0898613056486042     
 C   5.8632681035054235        8.9791698937990559E-015   5.6718890445188830     
 C   5.7351416279028804        1.2190419851176499        4.9629029139540233     
 C   5.7351416279028804        1.2190419851176502        12.052764219602627     
 C   5.3563619428981264        2.3848059858732102        11.343778089037766     
 C   5.3563619428981264        2.3848059858732094        9.9258058279080466     
 C   4.7434835383124554        3.4463425214773467        9.2168196973431851     
 C   4.7434835383124554        3.4463425214773467        12.052764219602627     
 C   3.9232921413431354        4.3572573515067115        11.343778089037766     
 C   3.9232921413431368        4.3572573515067106        9.9258058279080466     
 C   2.9316340517527100        5.0777391268347056        9.2168196973431851     
 C   2.9316340517527100        5.0777391268347056        12.052764219602627     
 C   1.8118494865597432        5.5762993366243601        11.343778089037766     
 C   1.8118494865597432        5.5762993366243601        9.9258058279080466     
 C  0.61287840458566956        5.8311485073505560        9.2168196973431851     
 C  0.61287840458566956        5.8311485073505560        12.052764219602627     
 C -0.61287840458567400        5.8311485073505551        11.343778089037766     
 C -0.61287840458567133        5.8311485073505551        9.9258058279080466     
 C  -1.8118494865597450        5.5762993366243601        9.2168196973431851     
 C  -1.8118494865597450        5.5762993366243601        12.052764219602627     
 C  -2.9316340517527149        5.0777391268347021        11.343778089037766     
 C  -2.9316340517527131        5.0777391268347030        9.9258058279080466     
 C  -3.9232921413431368        4.3572573515067106        9.2168196973431851     
 C  -3.9232921413431368        4.3572573515067106        12.052764219602627     
 C  -4.7434835383124572        3.4463425214773440        11.343778089037766     
 C  -4.7434835383124554        3.4463425214773467        9.9258058279080466     
 C  -5.3563619428981273        2.3848059858732085        9.2168196973431851     
 C  -5.3563619428981273        2.3848059858732085        12.052764219602627     
 C  -5.7351416279028813        1.2190419851176471        11.343778089037766     
 C  -5.7351416279028813        1.2190419851176471        9.9258058279080466     
 C  -5.8632681035054235       -4.4895849468995279E-015   9.2168196973431851     
 C  -5.8632681035054235       -4.4895849468995279E-015   12.052764219602627     
 C  -5.7351416279028804       -1.2190419851176508        11.343778089037766     
 C  -5.7351416279028804       -1.2190419851176508        9.9258058279080466     
 C  -5.3563619428981255       -2.3848059858732116        9.2168196973431851     
 C  -5.3563619428981255       -2.3848059858732116        12.052764219602627     
 C  -4.7434835383124545       -3.4463425214773471        11.343778089037766     
 C  -4.7434835383124545       -3.4463425214773471        9.9258058279080466     
 C  -3.9232921413431341       -4.3572573515067123        9.2168196973431851     
 C  -3.9232921413431341       -4.3572573515067123        12.052764219602627     
 C  -2.9316340517527095       -5.0777391268347056        11.343778089037766     
 C  -2.9316340517527095       -5.0777391268347056        9.9258058279080466     
 C  -1.8118494865597401       -5.5762993366243609        9.2168196973431851     
 C  -1.8118494865597401       -5.5762993366243609        12.052764219602627     
 C -0.61287840458567022       -5.8311485073505560        11.343778089037766     
 C -0.61287840458567022       -5.8311485073505560        9.9258058279080466     
 C  0.61287840458567322       -5.8311485073505551        9.2168196973431851     
 C  0.61287840458567322       -5.8311485073505551        12.052764219602627     
